dataset,mode,model_name,accuracy,weighted_precision,weighted_recall,weighted_f1,roc_auc,average_precision,fake_precision,fake_recall,fake_f1,fake_support,real_precision,real_recall,real_f1,real_support,report_accuracy,total_support,macro_precision,macro_recall,macro_f1,report_weighted_precision,report_weighted_recall,report_weighted_f1,cm_actual_fake_pred_fake,cm_actual_fake_pred_real,cm_actual_real_pred_fake,cm_actual_real_pred_real,cm_fake_total,cm_real_total,predicted_fake_total,predicted_real_total,one_class_predicted,severe_collapse,recall_balance_gap,scientific_reliability,run_start_utc,run_end_utc,duration_seconds,results_json,classification_report
twitter15,tda_only,Tda Only,0.5,0.25,0.5,0.3333333333333333,0.6625420941342313,0.645658555803784,0.5,1.0,0.6667,113,0.0,0.0,0.0,113,0.5,226,0.25,0.5,0.3333,0.25,0.5,0.3333,113,0,113,0,113,113,226,0,True,True,1.0,NO,2026-04-29T14:47:14Z,2026-04-29T14:58:44Z,690,remote_artifacts/final_runs/20260429T142746Z/twitter15/tda_only/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter15/tda_only/classification_report.txt
twitter15,text_only,Text Only,0.8230088495575221,0.8239220922013665,0.8230088495575221,0.8228840125391849,0.9019500352416008,0.8943808628988615,0.8411,0.7965,0.8182,113,0.8067,0.8496,0.8276,113,0.823,226,0.8239,0.823,0.8229,0.8239,0.823,0.8229,90,23,17,96,113,113,107,119,False,False,0.0531,YES,2026-04-29T15:05:59Z,2026-04-29T15:21:05Z,906,remote_artifacts/final_runs/20260429T142746Z/twitter15/text_only/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter15/text_only/classification_report.txt
twitter15,hybrid,Hybrid,0.8097345132743363,0.812697659709045,0.8097345132743363,0.809282700421941,0.8955282324379357,0.8697379704177757,0.8431,0.7611,0.8,113,0.7823,0.8584,0.8186,113,0.8097,226,0.8127,0.8097,0.8093,0.8127,0.8097,0.8093,86,27,16,97,113,113,102,124,False,False,0.0973,YES,2026-04-29T15:33:06Z,2026-04-29T16:00:54Z,1668,remote_artifacts/final_runs/20260429T142746Z/twitter15/hybrid/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter15/hybrid/classification_report.txt
twitter16,tda_only,Tda Only,0.496,0.4977247706422019,0.496,0.41533910726182544,0.4521249359959038,0.4719093134162772,0.5,0.127,0.2025,63,0.4954,0.871,0.6316,62,0.496,125,0.4977,0.499,0.4171,0.4977,0.496,0.4153,8,55,8,54,63,62,16,109,False,False,0.744,CAUTION,2026-04-29T14:58:44Z,2026-04-29T15:05:50Z,426,remote_artifacts/final_runs/20260429T142746Z/twitter16/tda_only/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter16/tda_only/classification_report.txt
twitter16,text_only,Text Only,0.792,0.8070909090909091,0.792,0.7891636363636363,0.9183307731694829,0.9089095607317615,0.7403,0.9048,0.8143,63,0.875,0.6774,0.7636,62,0.792,125,0.8076,0.7911,0.789,0.8071,0.792,0.7892,57,6,20,42,63,62,77,48,False,False,0.2274,YES,2026-04-29T15:21:05Z,2026-04-29T15:29:45Z,520,remote_artifacts/final_runs/20260429T142746Z/twitter16/text_only/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter16/text_only/classification_report.txt
twitter16,hybrid,Hybrid,0.824,0.8242871794871796,0.824,0.8239323770491803,0.9093701996927803,0.874661014038806,0.8154,0.8413,0.8281,63,0.8333,0.8065,0.8197,62,0.824,125,0.8244,0.8239,0.8239,0.8243,0.824,0.8239,53,10,12,50,63,62,65,60,False,False,0.0348,YES,2026-04-29T16:00:54Z,2026-04-29T16:16:35Z,941,remote_artifacts/final_runs/20260429T142746Z/twitter16/hybrid/results.json,remote_artifacts/final_runs/20260429T142746Z/twitter16/hybrid/classification_report.txt
pheme,tda_only,Tda Only,0.5263157894736842,0.5385353932093916,0.5263157894736842,0.44471309528949526,0.5498960498960498,0.5406892282178889,0.5224,0.8974,0.6604,39,0.5556,0.1351,0.2174,37,0.5263,76,0.539,0.5163,0.4389,0.5385,0.5263,0.4447,35,4,32,5,39,37,67,9,False,False,0.7623,CAUTION,2026-04-29T15:05:50Z,2026-04-29T15:05:59Z,9,remote_artifacts/final_runs/20260429T142746Z/pheme/tda_only/results.json,remote_artifacts/final_runs/20260429T142746Z/pheme/tda_only/classification_report.txt
pheme,text_only,Text Only,0.4868421052631579,0.2370152354570637,0.4868421052631579,0.31881695388914766,0.42688842688842693,0.4747512132921327,0.0,0.0,0.0,39,0.4868,1.0,0.6549,37,0.4868,76,0.2434,0.5,0.3274,0.237,0.4868,0.3188,0,39,0,37,39,37,0,76,True,True,1.0,NO,2026-04-29T15:29:45Z,2026-04-29T15:33:06Z,201,remote_artifacts/final_runs/20260429T142746Z/pheme/text_only/results.json,remote_artifacts/final_runs/20260429T142746Z/pheme/text_only/classification_report.txt
pheme,hybrid,Hybrid,0.4868421052631579,0.2370152354570637,0.4868421052631579,0.31881695388914766,0.5176715176715176,0.5307897267609935,0.0,0.0,0.0,39,0.4868,1.0,0.6549,37,0.4868,76,0.2434,0.5,0.3274,0.237,0.4868,0.3188,0,39,0,37,39,37,0,76,True,True,1.0,NO,2026-04-29T16:16:35Z,2026-04-29T16:21:03Z,268,remote_artifacts/final_runs/20260429T142746Z/pheme/hybrid/results.json,remote_artifacts/final_runs/20260429T142746Z/pheme/hybrid/classification_report.txt
